parameter,direction,country,producer_surplus,storage_surplus,consumer_surplus,line_congestion_rent,link_congestion_rent,total,welfare_share,delta_share_vs_baseline
baseline,baseline,BE,657203768.3198867,15853326.643943794,88716255468.65175,55440401.95869899,123288854.51399747,89568041820.08827,0.05457955366978299,0.0
baseline,baseline,BE_OH,28409996.714238264,0.0,0.0,0.0,26752432.27566027,55162428.98989853,3.361400665270001e-05,0.0
baseline,baseline,DE,3392614568.034503,475156153.0729821,526742833713.6846,188558645.6287661,49703780.53396683,530848866860.95483,0.3234802685267906,0.0
baseline,baseline,DK-DK1,982695330.1375744,81099961.8181889,16723192873.884235,4539766.670129884,75256688.27602392,17866784620.786156,0.010887378023463082,0.0
baseline,baseline,DK-DK2,248218169.720522,20111506.41704593,16129253056.325457,0.0,17857472.134777576,16415440204.597801,0.010002980766952711,0.0
baseline,baseline,FR,4858894643.508575,246573417.95259255,501272037233.30084,204995294.60709238,161924917.46782514,506744425506.837,0.3087918861101043,0.0
baseline,baseline,GB,3703475007.6620927,203209260.47433075,310540727087.3246,0.0,866777225.5551474,315314188581.0162,0.19214116250381016,0.0
baseline,baseline,GB-NIR,6556748.855620467,2472901.218342981,11854948581.286346,0.0,7908422.32216536,11871886653.682474,0.007234302119474474,0.0
baseline,baseline,IE,168072715.95688525,12496040.900568575,26761652838.83114,0.0,49386252.050528534,26991607847.73912,0.01644771817294555,0.0
baseline,baseline,LU,28303266.313933708,893631.5132484272,6098910243.030317,15491629.167880813,0.0,6143598770.02538,0.003743688842363513,0.0
baseline,baseline,NL,764001626.0304382,104298702.44938329,117802211163.3785,36277178.62563914,528068285.0769889,119234856955.56096,0.07265744725765987,0.0
Renewable production - wind,low,BE,670144791.1229475,16022691.248277515,88686925473.08954,58407548.30483828,122418355.73951209,89553918859.50513,0.054579423620945394,-1.3004883759465402e-07
Renewable production - wind,low,BE_OH,30302469.812991824,0.0,0.0,0.0,26495933.548117746,56798403.36110957,3.461628656254271e-05,1.0022799098427016e-06
Renewable production - wind,low,DE,3418659817.6019516,480332881.0365659,526602806961.9443,186771309.58595935,49254765.640678376,530737825735.8094,0.32346283659500263,-1.7431931787992294e-05
Renewable production - wind,low,DK-DK1,985490150.7619672,81870692.33018112,16718628397.7729,3969133.571806725,74146534.60860786,17864104909.045464,0.01088743588060542,5.785714233749739e-08
Renewable production - wind,low,DK-DK2,253521069.29931435,20233949.940218322,16123624803.560087,0.0,17263836.769950084,16414643659.56957,0.010004048971748858,1.068204796146957e-06
Renewable production - wind,low,FR,4981580732.712315,249038386.24997547,501053347136.34485,208126374.366473,166342409.24007094,506658435038.91364,0.3087874401174689,-4.4459926353823676e-06
Renewable production - wind,low,GB,3820694759.8830347,208203417.5644252,310415357400.55585,0.0,864304467.397727,315308560045.401,0.1921675755700518,2.6413066241626204e-05
Renewable production - wind,low,GB-NIR,6766954.777145813,2572721.117005613,11851937915.056637,0.0,8188138.630226595,11869465729.581015,0.007233950300102766,-3.5181937170850053e-07
Renewable production - wind,low,IE,176748454.62439105,13000444.107971936,26755128805.659958,0.0,51134293.50725715,26996011997.89958,0.01645295698584717,5.238812901618706e-06
Renewable production - wind,low,LU,28682785.344754152,897654.3389975072,6097137334.064662,15490808.858613295,0.0,6142208582.607027,0.003743423051360234,-2.657910032790971e-07
Renewable production - wind,low,NL,768484465.2108253,105270595.57519576,117768235596.40034,35362658.16330854,520684391.04240364,119198037706.39209,0.07264629262030428,-1.1154637355584307e-05
Renewable production - wind,high,BE,608922149.3994684,15509361.143437792,88796830014.7809,50601811.9630814,115162035.53858767,89587025372.82549,0.05458315190258424,3.598232801250989e-06
Renewable production - wind,high,BE_OH,26297760.112370703,0.0,0.0,0.0,25321200.529155698,51618960.6415264,3.1450152050752155e-05,-2.163854601947856e-06
Renewable production - wind,high,DE,3162954514.0240555,477940546.693901,527326118884.43915,168979735.65413457,44987039.26549192,531180980720.0767,0.323635392934949,0.00015512440815834694
Renewable production - wind,high,DK-DK1,913496191.3344467,81549709.33391732,16742075998.280085,4871003.443196687,69977581.61184761,17811970484.00349,0.01085239170032336,-3.498632313972232e-05
Renewable production - wind,high,DK-DK2,232249210.50858605,18938597.646403395,16144362928.7001,0.0,16333084.209138814,16411883821.064228,0.009999353632791128,-3.6271341615837227e-06
Renewable production - wind,high,FR,4545121694.557275,234598565.62686706,501624941635.3752,183937466.6652809,157945194.35471016,506746544556.57935,0.3087480971997037,-4.378891040057731e-05
Renewable production - wind,high,GB,3456934740.0987115,190559313.34688282,310763787449.7126,0.0,819002755.9680985,315230284259.1263,0.19206199132525156,-7.917117855860134e-05
Renewable production - wind,high,GB-NIR,5806769.175168103,2350742.3160566557,11860829129.452785,0.0,7474576.6318074595,11876461217.575817,0.007236033164471237,1.7310449967628677e-06
Renewable production - wind,high,IE,151764925.53911763,11878754.260503914,26774383539.645767,0.0,46676465.21828129,26984703684.66367,0.0164411104636699,-6.607709275650853e-06
Renewable production - wind,high,LU,25984325.45918873,891999.5336199721,6105141370.499596,13764205.986474026,0.0,6145781901.478878,0.0037444724355177534,7.835931542404286e-07
Renewable production - wind,high,NL,709940458.6111772,104277107.60329783,117925672326.20078,32681660.17975535,494643468.34339046,119267215020.93839,0.07266655508868737,9.107831027505009e-06
