parameter,direction,country,producer_surplus,storage_surplus,consumer_surplus,line_congestion_rent,link_congestion_rent,total,welfare_share,delta_share_vs_baseline
baseline,baseline,BE,1735.7227081149274,0.0,570227430.4953829,87.16384819991228,901.0562891143888,570230154.4382282,0.05120516951851604,0.0
baseline,baseline,BE_OH,132.0088927416624,0.0,0.0,0.0,165.36552666142487,297.37441940308724,2.6703441474445712e-08,0.0
baseline,baseline,DE,7089.618757080573,2.5017477470425855,2989781254.4758663,1021.1598608581261,660.6544451002117,2989790028.4106774,0.2684752885093554,0.0
baseline,baseline,DK-DK1,1090.6330850195561,0.005135457310741033,129092370.17462666,137.3869859681135,293.2837937957371,129093891.4836269,0.011592292245113295,0.0
baseline,baseline,DK-DK2,51.18912786756306,0.0,124240298.84096569,0.0,160.74050409965082,124240510.77059765,0.011156471409939485,0.0
baseline,baseline,FR,8524.37943646642,0.37749163465684504,3919261229.865154,518.8582911160536,429.7746793115841,3919270703.255052,0.3519402107853075,0.0
baseline,baseline,GB,819.6836637205332,0.0,2278753005.768474,0.0,764.2457632088152,2278754589.6979012,0.20462617444622988,0.0
baseline,baseline,GB-NIR,15.73524767684431,0.0,86678760.34156436,0.0,67.88843548344794,86678843.96524751,0.007783532428729709,0.0
baseline,baseline,IE,76.84994715628272,0.0,195532339.0638653,0.0,51.010213528437525,195532466.92402598,0.017558301744112673,0.0
baseline,baseline,LU,71.6483144510349,0.0,31034658.988562964,49.765015509487185,0.0,31034780.401892923,0.00278684173237807,0.0
baseline,baseline,NL,3117.1708592477776,0.0,811553374.2835782,449.6022280710788,107.3072662877471,811557048.3639317,0.07287569047687621,0.0
Demand change (asymmetric),low,BE,1735.7227081149274,0.0,570227430.4953829,87.16384819991228,901.0562891143888,570230154.4382282,0.05120516951851604,0.0
Demand change (asymmetric),low,BE_OH,132.0088927416624,0.0,0.0,0.0,165.36552666142487,297.37441940308724,2.6703441474445712e-08,0.0
Demand change (asymmetric),low,DE,7089.618757080573,2.5017477470425855,2989781254.4758663,1021.1598608581261,660.6544451002117,2989790028.4106774,0.2684752885093554,0.0
Demand change (asymmetric),low,DK-DK1,1090.6330850195561,0.005135457310741033,129092370.17462666,137.3869859681135,293.2837937957371,129093891.4836269,0.011592292245113295,0.0
Demand change (asymmetric),low,DK-DK2,51.18912786756306,0.0,124240298.84096569,0.0,160.74050409965082,124240510.77059765,0.011156471409939485,0.0
Demand change (asymmetric),low,FR,8524.37943646642,0.37749163465684504,3919261229.865154,518.8582911160536,429.7746793115841,3919270703.255052,0.3519402107853075,0.0
Demand change (asymmetric),low,GB,819.6836637205332,0.0,2278753005.768474,0.0,764.2457632088152,2278754589.6979012,0.20462617444622988,0.0
Demand change (asymmetric),low,GB-NIR,15.73524767684431,0.0,86678760.34156436,0.0,67.88843548344794,86678843.96524751,0.007783532428729709,0.0
Demand change (asymmetric),low,IE,76.84994715628272,0.0,195532339.0638653,0.0,51.010213528437525,195532466.92402598,0.017558301744112673,0.0
Demand change (asymmetric),low,LU,71.6483144510349,0.0,31034658.988562964,49.765015509487185,0.0,31034780.401892923,0.00278684173237807,0.0
Demand change (asymmetric),low,NL,3117.1708592477776,0.0,811553374.2835782,449.6022280710788,107.3072662877471,811557048.3639317,0.07287569047687621,0.0
Demand change (asymmetric),high,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05120516951851604
Demand change (asymmetric),high,BE_OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6703441474445712e-08
Demand change (asymmetric),high,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2684752885093554
Demand change (asymmetric),high,DK-DK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011592292245113295
Demand change (asymmetric),high,DK-DK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011156471409939485
Demand change (asymmetric),high,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3519402107853075
Demand change (asymmetric),high,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20462617444622988
Demand change (asymmetric),high,GB-NIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007783532428729709
Demand change (asymmetric),high,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017558301744112673
Demand change (asymmetric),high,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00278684173237807
Demand change (asymmetric),high,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07287569047687621
